FEN,Moves
3r2k1/pp3ppp/2n3b1/8/1q3pP1/1N1P1K1P/2P1r1B1/3R3R w - - 0 23,"[None, 'f3e2', 'b4e7']"
3r2k1/pp3ppp/6b1/8/1q1n1pP1/1N1P3P/2P1K1B1/3R3R w - - 1 24,"[None, 'b3d4', 'd8e8']"
2r3k1/pp3pp1/6bp/8/6P1/3P1pqP/2P1R1B1/2RK4 w - - 0 30,"[None, 'g2f3', 'g6d3', 'c2d3', 'c8f8']"
r2qkb1r/ppp1pppp/2n5/8/Q1pP1B2/5b2/PP2BPPP/R3K2R w KQkq - 0 11,"[None, 'e2f3', 'd8d7']"
r3kb1r/ppp1pppp/2n5/8/Q1pq1B2/5B2/PP3PPP/R3K2R w KQkq - 0 12,"[None, 'f3c6', 'b7c6', 'a4c6', 'd4d7', 'c6a8', 'd7d8']"
r3kb1r/ppp1pppp/2B5/8/Q1pq1B2/8/PP3PPP/R3K2R b KQkq - 0 12,"[None, 'b7c6', 'a4c6', 'd4d7', 'c6a8', 'd7d8', 'a8c6', 'd8d7', 'c6a8']"
r3kb1r/p1p1pppp/2p5/8/Q1pq1B2/8/PP3PPP/R3K2R w KQkq - 0 13,"[None, 'a4c6', 'd4d7', 'c6a8', 'd7d8']"
r3kb1r/p1p1pppp/2Q5/8/2pq1B2/8/PP3PPP/R3K2R b KQkq - 0 13,"[None, 'd4d7', 'c6a8', 'd7d8', 'a8b7']"
r2k1b1r/p1p1pppp/2Q5/8/2pq1B2/8/PP3PPP/R3K2R w KQ - 1 14,"[None, 'f4c7', 'd8c8']"
Q4b1r/p1pkpppp/8/8/2pq1B2/8/PP3PPP/3RK2R b K - 2 15,"[None, 'd4d1', 'e1d1']"
r2qkb1r/pp1npppp/5n2/3p4/5Qb1/2NP4/PPP2PPP/R1B1KBNR w KQkq - 0 7,"[None, 'c3d5', 'e7e5', 'd5f6']"
r2qkb1r/pp1n1ppp/5n2/3Np3/5Qb1/3P4/PPP2PPP/R1B1KBNR w KQkq - 0 8,"[None, 'd5f6']"
r3r1k1/pp3ppp/1q1b1n2/8/8/2PPBQ2/PP2NPPP/R3K2R w KQ - 1 17,"[None, 'e3b6', 'a7b6', 'f3b7', 'b6b5']"
4r1k1/4rpp1/1p5p/1nb5/8/1Q5P/5PP1/5RK1 w - - 2 34,"[None, 'b3b5', 'e7e4']"
4r1k1/4rpp1/1p5p/1Q6/8/7P/5bP1/5RK1 w - - 0 35,"[None, 'f1f2', 'e7e1', 'g1h2', 'e1e5']"
4r1k1/5pp1/1p5p/2r5/2Q5/5R1P/6PK/8 w - - 7 39,"[None, 'c4f7', 'g8h7', 'f7e8', 'h6h5', 'f3f8', 'h7h6', 'h3h4', 'g7g5']"
4r1k1/5pp1/1p5p/8/6r1/5R1P/6PK/8 w - - 0 41,"[None, 'h3g4', 'e8b8']"
r5k1/pbp1rppp/1p1q1n2/3p4/3P1Nn1/2PB1N2/PP3PPP/R2QR1K1 w - - 3 16,"[None, 'e1e7']"
4r1k1/pbp1rppp/1p1q1n2/3p4/3P1Nn1/2PB1N2/PP1Q1PPP/R3R1K1 w - - 5 17,"[None, 'e1e7']"
6k1/pbp2ppp/1p1q1n2/3p1r2/5N2/2PB4/PP1Q1PPP/3R2K1 w - - 2 21,"[None, 'd3f5', 'g7g6']"
6k1/p2q1p1p/1p3np1/2p5/2Pp4/1P6/P1NQ1PPP/4R1K1 w - - 0 30,"[None, 'c2d4', 'd7d4', 'd2d4']"
6k1/p4p1p/1pq3pn/2pN4/2Pp1Q2/1P6/P4PPP/4R1K1 w - - 6 33,"[None, 'f4h6', 'f7f6', 'e1e7', 'd4d3', 'h6g7']"
r2qkb1r/1p3ppp/p1n1p3/3n4/2BP1Bb1/1P3N2/P1P2PPP/R2QK2R w KQkq - 0 10,"[None, 'c4d5']"
r2qkb1r/1p3ppp/p1n1p3/3n4/2BP1B2/1P3b1P/P1P2PP1/R2QK2R w KQkq - 0 11,"[None, 'd1f3', 'd5f4', 'f3f4', 'f8d6']"
r2qk2r/1p3ppp/p2bp3/8/2Bn1B2/1Pn4P/P1P2PP1/R4RK1 w kq - 2 14,"[None, 'f4d6']"
r4rk1/1p3ppp/p2qp3/8/2B5/1Pn3PP/P1P2PK1/4nR2 w - - 0 18,"[None, 'f1e1', 'd6d2']"
r5k1/1p3ppp/p1q1p3/8/8/1P3PnP/P1P1r3/4R1K1 w - - 0 24,"[None, 'e1e2']"
r2qk2r/p4ppp/2p1p1b1/3pb1Pn/3P4/2N2N1P/PPPQ1P2/R3K2R w KQkq - 0 14,"[None, 'f3e5', 'd8c7']"
2r2rk1/p3q1pp/2p1p3/2Np3n/3P2b1/4Q2P/PPP2P2/2KR2R1 w - - 0 23,"[None, 'h3g4', 'h5f4']"
2r2rk1/p3q1pp/2p1p3/2np2P1/3P4/4QP2/PPP5/2KR2R1 w - - 0 26,"[None, 'd4c5', 'f8f5']"
1r4k1/p4r1p/4Q1p1/2qp2P1/8/5P2/2P5/2KR3R w - - 0 38,"[None, 'h1h7', 'b8b1', 'c1b1', 'c5b4']"
rn1qkb1r/ppp2p2/4pn2/3pNb2/2PP4/2N1P2p/PP3PPB/R2QKB1R w KQkq - 0 13,"[None, 'g2g4', 'f5e4', 'f2f3', 'b8c6', 'f3e4', 'f6e4', 'c3e4']"
rn1qk2r/pp3p2/2p2n2/3pbb2/B2P4/2N1P1Pp/PP3P1B/R2QK2R w KQkq - 0 17,"[None, 'd4e5', 'f6g4']"
r2qk2r/pp3p2/2p5/3pP3/4n3/4P1Pp/PPBQ1PbB/2KR2R1 w kq - 8 23,"[None, 'c2e4']"
r3k2r/pp3p2/2p5/q2pP3/8/4PPnp/PPB1Q1bB/2KR2R1 w kq - 0 25,"[None, 'h2g3']"
r3k3/pp3p2/2p5/q2pP3/8/4PP2/PPB1Q1br/2KR2R1 w q - 0 27,"[None, 'g1g2', 'h2g2', 'e2g2', 'e8c8']"
r3k3/pp3p2/2p5/q2pP3/8/4PP2/PPB1Q1r1/2KR4 w q - 0 28,"[None, 'e2g2', 'e8c8']"
k2r1q2/p1Q2P2/2p5/1p1p1B2/8/3RPP2/1P6/1K6 w - - 0 36,"[None, 'd3a3', 'f8a3', 'c7d8', 'a8b7', 'f5c8', 'b7a8', 'c8a6']"
1k1r1q2/p4P2/2Q5/1p1p1B2/8/3RPP2/1P6/1K6 w - - 1 37,"[None, 'c6b5', 'b8c7', 'd3c3', 'f8c5', 'b5c5', 'c7b8', 'c3b3', 'b8a8', 'c5c6']"
3r1q2/p1k2P2/8/1Q1p1B2/8/3RPP2/1P6/1K6 w - - 1 38,"[None, 'd3c3', 'f8c5', 'b5c5', 'c7b8', 'c3b3', 'b8a8', 'c5c6']"
3r1q2/p4P2/2Q5/3pkB2/8/2R1PP2/1P6/1K6 w - - 5 40,"[None, 'c6e6']"
3r1q2/p4P2/2Q5/3pk3/8/2RBPP2/1P6/1K6 b - - 6 40,"[None, 'f8f7', 'f3f4', 'f7f4', 'e3f4', 'e5f4', 'c6f6']"
3r4/p7/2Q5/3pk3/5q2/2RBP3/1P6/1K6 w - - 0 42,"[None, 'e3f4', 'e5f4', 'c6f6', 'f4g3']"
3r4/p7/2Q5/3p4/5k2/2RB4/1P6/1K6 w - - 0 43,"[None, 'c6f6', 'f4g3']"
3r4/p7/5Q2/3p4/6k1/2RB4/1P6/1K6 w - - 2 44,"[None, 'd3e2']"
7r/p7/5Q2/3p4/6k1/3B4/1P6/1KR5 w - - 4 45,"[None, 'c1g1', 'g4h5', 'f6h8']"
7r/p7/5Q2/3p4/8/3B3k/1P6/1K4R1 w - - 6 46,"[None, 'f6h8']"
r2qk2r/pppb2pp/2n2n2/1B1p1p2/3P4/P1b1PN2/1P3PPP/R1BQ1RK1 w kq - 0 10,"[None, 'b2c3', 'e8g8']"
8/2p3pk/p5bp/1p2N1q1/2pP4/P1P1Q3/6PP/6K1 w - - 3 33,"[None, 'e3g5']"
8/2p3pk/p6p/1p2N3/2pP4/P1Pb4/6PP/5K2 w - - 1 36,"[None, 'e5d3']"
rn1qk2r/ppp2ppp/4pn2/3p1bB1/2PP4/2b1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,"[None, 'b2c3', 'c7c6']"
rn3rk1/ppp2ppp/4pn2/3q1bB1/3P4/2P1PN2/P4PPP/R2QKB1R w KQ - 0 9,"[None, 'g5f6']"
r1b1k1nr/pp1n1ppp/3bN3/1q6/4PpQ1/2P5/PP4PP/RN2K2R w KQkq - 0 12,"[None, 'g4g7', 'b5b2', 'g7h8', 'b2g2']"
r1b1k1nr/pp1n1pQp/3bN3/1q6/4Pp2/2P5/PP4PP/RN2K2R b KQkq - 0 12,"[None, 'b5b2', 'g7h8']"
r1b1k1nr/pp1n1pQp/4N3/1q2b3/4Pp2/2P5/PP4PP/RN2K2R w KQkq - 1 13,"[None, 'g7h8', 'd7f6']"
r1b3nb/ppNnkp1p/8/1q6/4Pp2/2P5/PP4PP/RN2K2R w KQ - 2 15,"[None, 'c7b5', 'h8e5']"
1r5b/1pN1kp1p/p3bn2/4n3/4PR2/2P5/PP1N2PP/R5K1 w - - 1 20,"[None, 'c7e6']"
4n3/1pkr1pb1/p7/5R1p/4P3/2P1K1PP/PP6/5R2 w - - 9 30,"[None, 'f5f7', 'e8d6', 'f7d7']"
3bn3/1pkr1p2/p7/5R2/4P3/2P1K1PP/PP6/5R2 w - - 3 32,"[None, 'f5f7', 'e8d6', 'f7d7']"
3bn3/1pk2r2/p7/8/4P3/2P1K1PP/PP6/5R2 w - - 0 33,"[None, 'f1f7', 'c7c8']"
4nR2/1pk5/pb6/8/4P3/2PK2PP/PP6/8 w - - 5 36,"[None, 'f8e8', 'c7d7']"
r2q1rk1/1pp1nppp/1p6/3pN3/1P1Pn3/P3P2P/3BbPP1/R2Q1RK1 w - - 0 16,"[None, 'd1e2', 'b6b5']"
r4rk1/1p3ppp/1pp2q2/3pNn2/1P1Pn1Q1/P3P2P/3B1PP1/R1R3K1 w - - 2 19,"[None, 'e5d7', 'f6e6', 'd7f8']"
r4rk1/1p3ppp/1pp1q3/3pNn2/1P1P2Q1/P3PP1P/2Rn2P1/R5K1 w - - 0 21,"[None, 'c2d2', 'f5e3', 'g4e6']"
r4rk1/1p4pp/1pp2p2/3p1n2/1P1P2Q1/P2N1P1P/3q2PK/R7 w - - 0 24,"[None, 'g4f5', 'a8e8']"
1r2r1k1/6pp/1p3p2/1Ppp4/8/3N1P1P/6PK/q2R4 w - - 0 32,"[None, 'd1a1', 'e8e7']"
rnbqk2r/pppp1ppp/5n2/8/3P4/2b2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,"[None, 'b2c3', 'e8g8']"
r2qr1k1/ppp2ppp/2n2n2/1B1p4/3P2b1/B1P2N2/P1P2PPP/R2Q1RK1 w - - 4 11,"[None, 'b5c6', 'g4f3', 'd1f3']"
r1q1r1k1/ppp2ppp/5n2/1B1pn3/3P2b1/B1PQ4/P1P2PPP/R4RK1 w - - 0 13,"[None, 'd4e5']"
r1q3k1/p4ppp/2p2n2/1p1pr3/B5b1/B1PQ1P2/P1P3PP/R4RK1 w - - 0 16,"[None, 'f3g4']"
r1q3k1/5ppp/2p2n2/pp1pr3/6b1/BBPQ1P2/P1P3PP/R4RK1 w - - 0 17,"[None, 'f3g4', 'a5a4']"
r1q3k1/5ppp/2p2n2/1p1p4/4r1P1/1pPQ4/P1P3PP/R1B2RK1 b - - 1 20,"[None, 'a8a2', 'a1a2', 'b3a2', 'd3e4']"
4r1k1/5ppp/2p2n2/1p1p4/2P3q1/1P1Q2P1/P6r/R1B2RK1 w - - 0 24,"[None, 'g1h2', 'e8e2']"
6k1/5ppp/2p5/1p1p4/2P1n1q1/1P1Q2P1/P3r3/R1B2RK1 w - - 3 26,"[None, 'd3f3', 'h7h5', 'f3g4']"
2r2rk1/p1q1bpp1/Q3pn1p/2ppNb2/P2P3B/2N5/1PP2PPP/R4RK1 w - - 0 15,"[None, 'c3b5', 'c7b6', 'a6a7', 'b6d8', 'h4f6']"
1qr2rk1/Q4ppb/4pn1p/1Nbp4/P6B/2N5/1PP2PPP/R4RK1 w - - 1 19,"[None, 'a7b8']"
2rr2k1/5ppb/4pn1p/1Nbp4/P7/2N3B1/1PP2PPP/R1R3K1 w - - 4 22,"[None, 'a4a5', 'f6e4', 'c3e4']"
3r2k1/r1Nn1ppb/1b2p2p/3p4/8/2N3B1/1PP2PPP/R1R3K1 w - - 0 26,"[None, 'a1a7']"
3r2k1/5ppb/1n5p/2bNp3/8/N5B1/1PP2PPP/2R3K1 w - - 1 30,"[None, 'd5b6']"
2r3k1/2b3pb/1P3p1p/4p3/8/N5B1/5PPP/2R3K1 w - - 0 38,"[None, 'b6c7', 'c8c7', 'c1c7', 'h7f5', 'g3e5', 'h6h5', 'e5f6', 'g7f6']"
2r3k1/2P3pb/5p1p/4p3/8/N5B1/5PPP/2R3K1 b - - 0 38,"[None, 'c8c7', 'c1c7']"
2r3k1/2P3p1/b4p1p/4p3/8/N1R2PB1/6PP/6K1 b - - 0 40,"[None, 'c8c7', 'c3c7']"
2r5/B1P3p1/b3kp1p/4p3/8/N1R2P2/6PP/6K1 b - - 4 42,"[None, 'c8c7', 'c3c7']"
1Br5/2P3p1/b3kp1p/4p3/8/N1R2P2/5KPP/8 b - - 8 44,"[None, 'c8c7', 'c3c7']"
1Br5/2P3p1/b4p1p/3kp3/8/N1R1KP2/6PP/8 b - - 10 45,"[None, 'c8c7', 'c3c7']"
1Br5/2P5/b3kp1p/4p1pP/6P1/N1R1KP2/8/8 w - g6 0 49,"[None, 'c3c6', 'e6d7', 'c6a6', 'c8e8', 'a6f6', 'e8c8', 'f6h6', 'e5e4', 'e3e4', 'c8c7']"
1Br5/2P2kP1/b4p1p/4p3/6P1/N2RKP2/8/8 b - - 2 51,"[None, 'a6d3', 'g7g8q']"
rnbqk1nr/ppp5/4p2p/4Pp2/2P3p1/2b1P3/PP1B1PPP/R2QKB1R w KQkq - 0 10,"[None, 'd2c3', 'd8d1', 'a1d1', 'h6h5']"
r1b1k1nr/ppp5/2n1p2p/4Pp2/2P3p1/2B1P3/PP2BPPP/R2qK2R w KQkq - 0 12,"[None, 'a1d1', 'h6h5']"
r1b1k2r/ppp5/2n4p/4np2/2P3p1/2B5/PP2BPPP/3R1RK1 w kq - 0 16,"[None, 'b2b4', 'e8g8', 'b4b5', 'c8e6', 'b5c6']"
r4rk1/ppp5/2b4p/4np2/8/5p2/PP2B1PP/3RR1K1 w - - 0 21,"[None, 'g2f3', 'e5f3', 'e2f3']"
r4rk1/ppp5/7p/4np2/8/5b2/PP4PP/3RR1K1 w - - 0 22,"[None, 'g2f3']"
r4rk1/ppp5/7p/5p2/8/8/PP5P/3Rn2K w - - 0 24,"[None, 'd1e1', 'f8e8']"
5r2/ppp5/6kp/8/8/8/PP3p1P/3Rr2K w - - 4 33,"[None, 'd1e1']"
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,"[None, 'c3e4', 'g8f6', 'e4f6']"
rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,"[None, 'e4f6']"
r3r1k1/pp3ppp/1q1bbpn1/8/PP6/2PB1NBP/2Q2PP1/3RR1K1 w - - 1 19,"[None, 'g3d6', 'e8d8']"
r3r1k1/pp3ppp/3qbpn1/8/PP6/2PB1N1P/2Q2PP1/3RR1K1 w - - 0 20,"[None, 'd3g6', 'd6d1', 'g6h7', 'g8f8', 'e1d1', 'a7a5']"
r3r2k/pp3p2/4bpp1/8/PP2Rq2/2PB1N1P/2Q2PP1/3R2K1 b - - 1 23,"[None, 'f4e4', 'd3e4']"
r7/ppq2pk1/4rpp1/8/PP2R3/2PB3P/2Q2PP1/3R2K1 w - - 0 26,"[None, 'e4e6']"
r7/ppq3k1/4ppp1/8/PP6/2PB3P/2Q2PP1/3R2K1 w - - 0 27,"[None, 'd3g6', 'a8d8', 'd1d8']"
4r1k1/ppq5/5QB1/8/PP6/2P4P/5PP1/6K1 w - - 0 33,"[None, 'g6e8', 'c7g7']"
4B1k1/1p3q2/p7/8/PP6/2P4P/5PP1/6K1 w - - 0 35,"[None, 'e8f7', 'g8f7']"
4k3/1p6/p2K1PPP/8/PP6/2P5/8/8 w - - 1 50,"[None, 'h6h7', 'a6a5']"
rnbqkbnr/pp2pppp/2p5/8/3Pp3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,"[None, 'd2e4', 'g8f6', 'e4f6']"
rnbqkb1r/pp2pppp/2p2n2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,"[None, 'e4f6']"
rn1q1b1r/pp2pkp1/2p2n1p/8/3P2b1/5N2/PPP2PPP/R1BQKB1R w KQ - 2 8,"[None, 'f3e5', 'f7e8', 'e5g4', 'd8d5']"
rn1q1bkr/pp2p1p1/2p2n1p/4N3/3P2b1/8/PPP2PPP/R1BQKB1R w KQ - 4 9,"[None, 'e5g4', 'd8d5']"
rn1q1b1r/pp2p1pk/2p4p/8/3P2Q1/8/PPP2PPP/R1B1KB1R w KQ - 1 11,"[None, 'f1d3', 'h7g8', 'g4e6']"
rn1q1bkr/pp2p1p1/2p4p/8/3P2Q1/3B4/PPP2PPP/R1B1K2R w KQ - 3 12,"[None, 'g4e6']"
rn1q1bkr/pp2p1p1/2p4p/8/2BP2Q1/8/PPP2PPP/R1B1K2R b KQ - 4 12,"[None, 'd8d5', 'c4d5', 'c6d5', 'g4c8']"
rn1q1b1r/pp2p1pk/2p4p/8/2BP2Q1/8/PPP2PPP/R1B1K2R w KQ - 5 13,"[None, 'c4d3', 'h7g8', 'g4e6']"
r2q1br1/pp1npB1k/2p3pp/8/3PQ3/8/PPP2PPP/R1B2RK1 w - - 4 16,"[None, 'f7g8', 'h7g8', 'e4g6', 'g8h8', 'c1h6', 'd7f6']"
r2q1bk1/pp1np3/2p3pp/8/3PQ3/8/PPP2PPP/R1B2RK1 w - - 0 17,"[None, 'e4g6', 'g8h8', 'c1h6', 'd7f6', 'h6f8']"
r2q1b1k/pp1np3/2p3Qp/8/3P4/8/PPP2PPP/R1B2RK1 w - - 1 18,"[None, 'c1h6', 'd7e5', 'd4e5', 'd8e8', 'g6e8', 'a8e8', 'h6f8', 'e8f8']"
r2q3k/pp1np3/2p3Qb/8/3P4/8/PPP2PPP/R4RK1 w - - 0 19,"[None, 'g6h6', 'h8g8']"
6r1/pp2pk2/2p5/8/3Pn1q1/4Q3/PPPK1P2/4R3 w - - 8 35,"[None, 'e3e4', 'g4e4', 'e1e4', 'g8g2']"
6r1/pp2pk2/2p5/8/3Pq3/8/PPPK1P2/4R3 w - - 0 36,"[None, 'e1e4', 'g8g2']"
1r6/R7/2p1p3/p2k4/3P4/2P5/PP2KP2/8 w - - 1 43,"[None, 'a7a5', 'b8b5', 'a5b5']"
1r6/R7/4p3/p1pk4/3P4/1PP5/P3KP2/8 w - - 0 44,"[None, 'a7a5', 'e6e5', 'a5c5', 'd5d6', 'c5e5', 'd6d7']"
1r6/R7/4p3/p1k5/8/1PP5/P3KP2/8 w - - 0 45,"[None, 'a7a5', 'b8b5', 'a5b5']"
3r4/2k5/8/3R4/3K4/1PP5/P7/8 w - - 7 53,"[None, 'd5d8']"
8/3K4/8/8/1PQ5/8/P7/4k3 w - - 1 64,"[None, 'b4b5', 'e1d2', 'b5b6', 'd2e3', 'b6b7', 'e3d2', 'b7b8q', 'd2e1']"
8/3K4/8/1P6/2Q5/8/P4k2/8 w - - 1 65,"[None, 'b5b6', 'f2g1', 'b6b7', 'g1h2', 'b7b8q', 'h2g1']"
8/1P1K4/8/8/2Q5/7k/P7/8 w - - 1 67,"[None, 'b7b8q', 'h3g2']"
r1bqk1nr/pppp1ppp/2n5/4B3/1b6/8/P1PPPPPP/RN1QKBNR w KQkq - 1 4,"[None, 'e5g7', 'g8e7', 'g7h8', 'e7g6']"
r1bqk2r/ppppnpBp/2n5/8/1b6/8/P1PPPPPP/RN1QKBNR w KQkq - 1 5,"[None, 'g7h8', 'e7g6']"
r2qk2B/ppp2p1p/2npb3/5n2/1bB5/4P3/P1PP1PPP/RN1QK1NR w KQq - 2 8,"[None, 'c4e6']"
6r1/ppp1k3/1b1p4/5n2/2np4/2P1PN2/P2N1PPP/R1B2RK1 w - - 0 19,"[None, 'd2c4', 'd4c3', 'c4b6']"
rnbqk2r/ppp2pp1/4pn1p/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,"[None, 'g5f6', 'b4c3', 'b2c3']"
r1bqk2r/ppp2pp1/2n1p2p/3n4/1b1P3B/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 8,"[None, 'h4d8', 'd5c3', 'b2c3', 'b4c3', 'f3d2', 'c6d8']"
r1b2rk1/2pq1pp1/p1n1p2p/1p6/1b1P3B/1Bn1PN2/PP3PPP/2RQK2R w K - 0 13,"[None, 'b2c3', 'b4d6']"
r4rk1/2pq1p2/b1n1p1pp/p7/3P4/1Q2PNB1/P1B2PPP/1R2b1K1 w - - 0 23,"[None, 'b1e1', 'a8b8']"
1r3rk1/2pq1p2/b3p1pp/p7/3P4/4PNB1/P1nQ1PPP/4R1K1 w - - 0 26,"[None, 'd2c2', 'b8b4']"
2r5/2rk4/4p2p/p7/2bP1Q2/3NP2P/P4PPK/4q3 w - - 7 40,"[None, 'd3e1', 'c4a2']"
r1bqk2r/ppp2ppp/2nbpn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,"[None, 'c4d5', 'e6d5', 'c3d5', 'c8f5', 'g5f6']"
r1bq1rk1/ppp2ppp/2nbpn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,"[None, 'c4d5', 'e6d5', 'c3d5', 'd6a3', 'd5f6', 'g7f6', 'b2a3']"
r1bq1rk1/ppp2ppp/2nb1n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQ - 0 8,"[None, 'c3d5', 'd6a3', 'b2a3', 'd8d5', 'g5f6']"
r1bq1rk1/ppp2pp1/2nb1n1p/1B1p2B1/3P4/2N1PN2/PP3PPP/R2QK2R w KQ - 0 9,"[None, 'g5f6']"
r2q1rk1/1ppb1p2/p1nb1n1p/1B1p2p1/3P4/2N1PNB1/PP3PPP/R2Q1RK1 w - - 0 12,"[None, 'b5c6']"
r4rk1/2pb1p2/p1n2q1p/1p1p2p1/1b1Pn3/1BN1PNB1/PP1Q1PPP/2R2RK1 w - - 6 16,"[None, 'c3d5', 'f6f3', 'd2b4', 'f3e2', 'c1c6']"
r4rk1/2pb1p2/p1n2q1p/1p1p2p1/3Pn3/1Bb1PNB1/PP2QPPP/2R2RK1 w - - 0 17,"[None, 'b3d5', 'e4g3', 'f2g3', 'f6d6', 'd5c6', 'c3b2', 'e2b2', 'd7c6']"
r4rk1/2pb1p2/p1n2q2/1p1p2pp/3Pn3/1BP1PNB1/P3QPPP/2R2RK1 w - - 0 18,"[None, 'b3d5', 'a8e8', 'd5e4', 'e8e4', 'f3d2', 'e4e7', 'e2h5', 'f6g6', 'h5g6']"
r4rk1/2pb1p2/p1n2q2/1p1B2pp/3P4/2P1PNn1/P3QPPP/2R2RK1 w - - 0 19,"[None, 'f2g3', 'f6h6']"
4rrk1/2pb1p2/p1n2q2/1p1B2pp/3P4/2P1PNP1/P3Q1PP/2R2RK1 w - - 1 20,"[None, 'f3e5', 'f6d6', 'd5f7', 'f8f7', 'e5f7', 'd6g6']"
4rrk1/2pb1p2/p4q2/1p1Bn1pp/3P4/2P1P1P1/P3Q1PP/2R2RK1 w - - 0 21,"[None, 'f1f6', 'd7g4']"
5rk1/2pb1R2/p7/1p1B2pp/3P2n1/2P1r1P1/P3Q1PP/2R3K1 w - - 0 23,"[None, 'f7d7', 'g8h8']"
r2qkbnr/ppp1pppp/2n5/5b2/Q1pP1B2/2N2N2/PP2PPPP/R3KB1R w KQkq - 6 7,"[None, 'd4d5', 'e7e5', 'f3e5', 'f7f6', 'e5c4', 'a7a6', 'd5c6', 'b7b5']"
r3kbnr/1pB2ppp/p3p3/6q1/1n1PP2N/2N3P1/PP2BP1P/R2Q1bK1 w kq - 0 16,"[None, 'e2f1', 'g5e7']"
r3kbnr/2B2ppp/p3p3/1p4q1/Qn1PP2N/2N3P1/PP2BP1P/R4bK1 w kq - 0 17,"[None, 'c3b5', 'g5b5', 'e2b5', 'f1b5']"
r3kbnr/2B2ppp/4p3/1p4q1/Qn1PP2N/2N3P1/PP3P1P/R4bK1 w kq - 0 18,"[None, 'a4a8', 'e8d7']"
Q4bnr/2B1kppp/4p3/1p4q1/1n1PP2N/2N3P1/PP3P1P/R4bK1 w - - 1 19,"[None, 'a8d8']"
Q4b1r/2B1kppp/4pn2/1p4q1/1n1PP2N/2N3P1/PP3P1P/5RK1 w - - 1 20,"[None, 'a8d8']"
Q4b1r/2B1kppp/2n1pn2/1N4q1/3PP2N/6P1/PP3P1P/5RK1 w - - 1 21,"[None, 'c7d6', 'e7d7', 'a8b7', 'd7d8', 'b7c7', 'd8e8', 'c7c8', 'c6d8', 'b5c7']"
5b1r/2Bk1ppp/Q1n1pn2/1N4q1/3PP2N/6P1/PP3P1P/5RK1 b - - 4 22,"[None, 'f6e4', 'c7b6', 'g5b5', 'a6b5']"
5b1r/3k1ppp/Q1nBp3/1N6/3Pn2N/6P1/PP1q1PKP/8 b - - 3 25,"[None, 'd2f2', 'g2h3']"
4k2r/1Q3ppp/2nbp3/1N6/3Pn2N/6P1/PP1q1PKP/8 w - - 2 27,"[None, 'b7c6', 'e8e7', 'c6e4', 'h8b8', 'h4f5', 'e7d7', 'f5d6', 'd2b4']"
5k1r/1Q3ppp/2nNp3/8/3Pn2N/6P1/PP1q1PKP/8 w - - 1 28,"[None, 'b7f7']"
5k1r/5ppp/2QNpq2/6n1/3P2KN/6P1/PP5P/8 w - - 4 31,"[None, 'c6e8']"
4k2r/5ppp/4pq2/2Q5/3PN1KN/6P1/PP5P/8 w - - 1 33,"[None, 'e4f6', 'e8d8']"
2Q4r/4kp1p/4pp2/8/3P2KN/6P1/PP5P/8 w - - 2 35,"[None, 'c8h8', 'e6e5', 'd4e5', 'f6e5']"
3Q4/5p1p/2k1pp2/8/3P2KN/6P1/PP5P/8 w - - 3 37,"[None, 'd8f6', 'c6d7', 'f6f7', 'd7d6', 'f7h7', 'd6d5']"
r1bqr1k1/pp3ppp/1np5/2b1P3/5n1P/2P3P1/PP1NQ3/2KR1BNR w - - 0 14,"[None, 'g3f4', 'b6d5']"
r2qr1k1/pp2bppp/1np5/4Pb2/4NP1P/2P5/PP2Q3/2KR1BNR w - - 3 16,"[None, 'd1d8', 'a8d8']"
3rr1k1/pp2bppp/2p3b1/3nP3/3NNP1P/2P5/PP2Q3/2K2B1R w - - 4 19,"[None, 'f4f5', 'c6c5', 'f5g6']"
3rr1k1/pp2bppp/2p3b1/4P2n/3NN1Q1/2P5/PP6/2K2B1R w - - 0 21,"[None, 'h1h5', 'd8d4', 'c3d4', 'g6h5', 'g4h5', 'b7b5']"
3rr1k1/pp2bppp/2p5/4P2b/3NN1Q1/2P5/PP6/2K2B2 w - - 0 22,"[None, 'g4h5', 'd8d5']"
3rr1k1/pp2bpp1/7p/2p1P2Q/3NN3/2PB4/PP6/2K5 w - - 0 24,"[None, 'e5e6', 'f7e6', 'd4e6', 'e7h4', 'e6d8']"
4r3/p3rBpk/1p1N3p/2p1P2Q/8/2P5/PP6/2K5 b - - 0 28,"[None, 'e7f7', 'h5f7', 'e8e5', 'd6f5', 'e5f5', 'f7f5']"
